company_id,industry,country,year,ai_adoption_level,ai_investment_usd,automation_rate,cost_savings,revenue_impact,productivity_gain,employee_ai_training_hours,ai_maturity_score,deployment_count
CORP-06613,Financial Services,China,2029,0.4987,11747237,0.4119,3519354,2751513,0.3924,76.8,6.37,29
CORP-01597,Agriculture,Germany,2032,0.5213,1267219,0.458,295244,304776,0.4639,83.2,7.19,37
CORP-02938,Energy,United States,2024,0.6147,8168951,0.5821,2472329,5170304,0.4953,123.1,6.72,26
CORP-05207,Retail,Germany,2021,0.4401,1234261,0.288,512061,-233448,0.3078,63.1,5.68,21
CORP-07489,Technology,United States,2024,0.1918,5000645,0.1906,2122064,2110644,0.191,29.6,4.33,16
CORP-04524,Technology,China,2018,0.1588,2492956,0.1252,903015,556885,0.0916,33.3,3.25,10
CORP-06216,Manufacturing,Germany,2021,0.1917,1876245,0.1082,389831,-93417,0.0822,12.1,3.62,12
CORP-01925,Telecom,South Korea,2015,0.0846,1202819,0.0378,144186,218797,-0.018,12.6,3.07,10
CORP-01012,Retail,United Kingdom,2022,0.3491,1636089,0.2861,441311,511607,0.2808,59.2,5.14,19
CORP-02349,Energy,United States,2015,0.3123,5336479,0.3819,1465281,1530479,0.2821,35.5,4.36,10
CORP-01935,Manufacturing,United States,2026,0.7926,7412752,0.8584,3472523,4597238,0.7589,129.3,8.26,33
CORP-06132,Education,United States,2022,0.5578,967898,0.2875,132539,214603,0.3152,100.3,5.58,23
CORP-06504,Logistics,United States,2018,0.611,6929788,0.5421,2480777,1698568,0.5148,114.1,5.81,17
CORP-02378,Technology,China,2023,0.5353,9310280,0.3385,2148859,3816702,0.3546,78.7,5.33,19
CORP-03901,Technology,United States,2030,0.7785,14956206,0.5281,11139710,19493822,0.5997,125.2,8.16,38
CORP-04755,Technology,Germany,2016,0.01,936790,0.0815,333136,-96308,-0.015,1.0,2.06,6
CORP-00225,Technology,Brazil,2028,0.566,3935814,0.4717,1514190,1829285,0.4137,48.7,6.24,27
CORP-03805,Healthcare,Brazil,2025,0.2391,1139354,0.0704,317279,197217,0.0119,14.9,5.18,19
CORP-00352,Financial Services,China,2032,0.9452,10976961,0.7954,5625063,4015645,0.6979,139.8,8.84,41
CORP-06453,Technology,China,2019,0.1523,4464482,0.1299,1424600,-473041,0.0684,23.6,3.37,11
CORP-01055,Retail,France,2022,0.7393,2671037,0.5034,1224897,3311894,0.4622,96.4,7.22,25
CORP-00685,Manufacturing,China,2022,0.2752,2157825,0.2539,444921,332212,0.285,29.1,4.99,17
CORP-02667,Technology,Sweden,2035,0.6743,6798487,0.4776,4793288,1581204,0.5102,103.9,8.68,44
CORP-00456,Financial Services,Germany,2019,0.2606,7114920,0.1772,1314412,2425066,0.2454,33.3,4.43,16
CORP-03298,Financial Services,United States,2017,0.2972,6796431,0.1767,2088832,1432303,0.1148,43.0,4.46,14
CORP-06610,Logistics,United States,2028,0.8041,2940941,0.7281,1503091,1729932,0.6354,139.9,8.62,37
CORP-00170,Technology,Netherlands,2034,0.8236,9126189,0.6086,5209440,4273642,0.6004,100.4,8.91,44
CORP-04229,Healthcare,United States,2033,1.0,14619407,0.6857,5814206,5993575,0.7024,163.6,9.85,49
CORP-03331,Retail,United States,2016,0.2725,2161566,0.2568,611125,368938,0.174,34.5,3.71,10
CORP-02555,Manufacturing,United States,2027,0.4165,5992751,0.4988,2714658,-619897,0.3912,71.9,6.21,27
CORP-07330,Retail,Germany,2022,0.3245,942342,0.1799,249905,349762,0.1845,33.5,4.73,15
CORP-04953,Technology,China,2031,0.5788,4152365,0.5264,2211380,705787,0.4417,83.5,7.82,40
CORP-06405,Manufacturing,Canada,2017,0.5984,5089421,0.5683,1769044,1502482,0.5008,107.0,5.29,17
CORP-06462,Agriculture,United Kingdom,2027,0.8271,1960166,0.7139,543070,458623,0.6447,150.9,8.59,35
CORP-06819,Education,Japan,2032,0.7558,627961,0.3834,152996,339428,0.4648,118.4,8.42,40
CORP-01751,Logistics,Canada,2035,0.9922,3719955,0.8907,1997380,2995932,0.7559,159.5,9.72,53
CORP-02286,Technology,Japan,2030,0.8694,4367668,0.673,2545944,1836895,0.5963,121.8,8.51,38
CORP-02796,Manufacturing,United Kingdom,2026,0.9866,8282305,0.95,4690252,3823163,0.82,147.5,8.94,37
CORP-03158,Retail,Australia,2029,0.6435,6315302,0.5228,2873657,3935871,0.4485,90.7,6.89,31
CORP-06732,Financial Services,Germany,2016,0.0678,2582169,0.1296,868940,332162,0.0909,1.0,2.92,7
CORP-02664,Manufacturing,Japan,2028,0.4684,3664480,0.4693,1315924,661586,0.4105,69.1,5.99,26
CORP-05304,Healthcare,China,2020,0.2528,2011353,0.2073,375103,435758,0.145,36.6,5.14,19
CORP-01942,Manufacturing,India,2028,0.6677,3384871,0.6962,1925097,1532594,0.6086,87.5,6.99,29
CORP-03546,Telecom,United States,2033,0.6997,7438940,0.5911,2145952,6426968,0.5577,115.8,7.89,37
CORP-06586,Technology,France,2018,0.1015,1408920,0.1556,352718,-100288,0.1109,1.8,3.49,13
CORP-02465,Retail,Canada,2030,0.8462,3082658,0.6043,1249288,2599193,0.6278,121.9,8.57,39
CORP-05804,Technology,South Korea,2034,0.9224,10468343,0.6689,9712545,8765787,0.6358,119.4,9.41,47
CORP-01385,Healthcare,Germany,2021,0.3566,4188652,0.2419,881219,1442355,0.2467,44.7,4.71,17
CORP-01070,Healthcare,China,2016,0.2155,3821009,0.1887,691709,667689,0.1596,28.6,3.35,11
CORP-06296,Technology,France,2032,0.7887,5079466,0.6534,2867389,8284887,0.5259,118.2,8.45,43
CORP-05990,Education,Singapore,2031,0.633,543279,0.3577,339895,156037,0.3673,102.5,7.32,35
CORP-02128,Logistics,France,2028,0.619,2200386,0.521,663570,1426554,0.4251,85.8,6.58,32
CORP-03386,Agriculture,Australia,2034,0.6453,426935,0.5149,120613,157056,0.4956,84.0,7.96,40
CORP-06413,Telecom,United States,2031,0.6209,4793808,0.3733,1046519,2843242,0.3954,105.5,7.27,35
CORP-06584,Retail,Australia,2018,0.1566,790408,0.0782,165085,85193,0.1402,16.5,3.85,15
CORP-02348,Agriculture,India,2032,0.6999,1024522,0.6201,367453,388499,0.5112,95.5,7.48,37
CORP-01113,Manufacturing,Brazil,2020,0.5298,1358645,0.538,576791,343794,0.4334,51.6,4.91,17
CORP-07073,Technology,China,2018,0.1341,1864125,0.0356,435361,356647,0.0314,21.1,3.95,14
CORP-02790,Manufacturing,United Kingdom,2030,0.557,2466713,0.5515,567458,800894,0.357,72.5,7.13,31
CORP-04834,Technology,Japan,2025,0.3867,3481517,0.3462,2686090,-132867,0.3024,66.8,4.77,20
CORP-02203,Financial Services,United Kingdom,2026,0.4743,4561355,0.3567,1254552,815972,0.308,80.5,6.66,30
CORP-02168,Technology,United States,2019,0.1346,5058680,0.0192,859205,-896912,0.0464,18.2,3.9,14
